State,S_0,I_0,m_b,rel_E,rel_A,k_L,k_Q,j_Q,f_A,f_H,f_R,c_A,c_I,c_H,t_0,t_delta,t_delta2,beta,lambda_0,p_0,lambda_1,p_1,f_D,r
Hawaii,1415872,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.5831979774401,16.1328669212886,41.5513384292898,0.472559387710163,0.0692352917454914,0.920532492925933,0.0208629288965563,0.257936532314105,0.437818990946836,7.50915488127022
Idaho,1787065,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.3852009177462,28.9526062927196,2.55454360476407,0.439677746021592,6.70035860370371,0.768729386601029,0.0233187265207692,0.576378205342816,0.935508708657606,3.88850398148092
Illinois,12671821,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,26.115526360892,29.4636355838694,,0.554282244297146,0.236643763127215,0.543614338150187,,,0.0477931292825439,17.8681556057565
Indiana,6733219,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,29.0314628812486,32.8807536000899,,0.502240178994784,0.305806523251458,0.553423850643691,,,0.0580816267804078,23.1701413692099
Iowa,3155070,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,35.6064470645804,1.90769291139358,,0.548691878675267,0.0396795852274562,0.756900645994218,,,0.940629210148925,6.67578367954316
Kansas,2913314,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.0663097581571,0.0543150466778313,,1.75616621753178,0.119549222176993,0.866908659931067,,,0.0295343091434459,2.40685138544241
Kentucky,4467673,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,31.5091842966913,26.0027143891571,,0.389107346089317,0.106060668670061,0.564992111949886,,,0.633076900909092,2.93480954194392
Louisiana,4648794,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.5833304652111,2.15387544388394,37.8556667562841,1.254984020832,0.0714625463049833,0.987872112420001,0.0426821423214489,0.853792733540363,0.772277538052573,3.80787343478578
Maine,1344212,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.1220653301073,3.9513270573314,,2.45923097354021,0.339767967191766,0.889200525248162,,,0.040303733350145,6.24927893886701
Maryland,6045680,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,25.1867467274275,36.1941641764026,64.3048570195565,0.408586032357527,0.137643001380645,0.533455285995167,7.05635637247259,0.508402016744488,0.165723521832747,15.9904809483309
Massachusetts,6892503,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,8.00811105871912,57.8282906871073,,0.353110041710203,0.577286055028221,0.335787219281518,,,0.0620140140205438,4.91433219772368
Michigan,9986857,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.9058920929507,16.3169405311126,,0.756625417526518,0.206008345759169,0.746152878900463,,,0.843732767262443,2.93230874235124
Minnesota,5639632,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,32.5216070954593,17.1355546204044,,0.751482724411052,0.442477592409306,0.590055677004166,,,0.0244069563099203,9.42997566556123
Mississippi,2976149,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,37.8502571066049,16.8998732092694,,0.753395045516825,0.257217550682644,0.677762549228564,,,0.0729777961254639,2.51252759569033
Missouri,6137428,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.1594917890062,19.1495663190776,,0.580646153622026,0.375921326079921,0.619244085743476,,,0.96189699213632,8.144992809413
Montana,1068778,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.5258087116901,21.1487733231782,43.5615602945137,0.421468768177719,0.171697144313926,0.760908389134311,9.15099909699481,0.34611830864198,0.767765758472722,3.98745745621888
Nebraska,1934408,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,11.4481802295292,0.0591302928978387,,1.62735244508761,0.261508743837129,0.788276612411162,,,0.0359525853096154,5.6440219787884
Nevada,3080156,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,32.5070014260824,26.5619438460633,68.6357228092015,0.420561754481731,0.288604403656378,0.539766217818778,8.89972213870414,0.386056526936757,0.939969081390883,7.56571124739495
New Hampshire,1359711,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,12.1028718492398,51.0799372249009,,0.336381932255577,1.24110406175203,0.325838795960557,,,0.0225638795469237,9.84627583333159
New Jersey,8882190,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,31.0586269810847,25.7853219423468,,0.632299053490926,0.159854910084362,0.682608773161183,,,0.142084281076362,15.6886236870629
New Mexico,2096829,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.8825843338081,6.74175945203241,,0.557370125248334,0.0662382626030621,0.718161735892348,,,0.930617914406274,10.7222174842512
New York,19453561,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,33.1629190551805,0.0882328988642996,,2.13926108976192,0.100840409287297,0.887733987625197,,,0.102240293125048,9.63381362300019
North Carolina,10488084,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,34.1319592157083,24.4031709415138,,0.459121791615136,0.268667246499616,0.530008641062617,,,0.87035956993995,9.2145206361874
North Dakota,762062,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.7385261632635,11.8857667871947,,0.935627593313647,0.38026939180097,0.677778621893251,,,0.0221558788738565,6.33270813910204
Ohio,11689100,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.2219868128767,1.20777860287775,,1.28702257063935,0.104586631435102,0.866903706933995,,,0.999785891700587,14.3439952880676
Oklahoma,3956971,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.7640535042206,24.643785695406,73.0141524867083,0.446501390342493,0.271467294151312,0.564578984915069,1.16653975887893,0.306800044924215,0.677058876975714,8.44219861207444
Oregon,4217737,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,3.51819369056496,59.3824911334356,61.3943093221292,0.323024114926598,1.96170279902414,0.368005149973565,0.717300166300585,0.188315111014237,0.0153721856213111,9.9341057527265
Pennsylvania,12801989,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,31.5846335544266,29.8893370587779,108.403116618418,0.45776350386165,0.138414926248842,0.645271338363405,1.88343179281,0.325998487068921,0.821521344972286,25.2677328448204
Rhode Island,1059361,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,30.0326648908368,33.6382434915164,,0.337117598625991,0.0558751301852402,0.643751380192612,,,0.907239226067868,1.70779623372984
South Carolina,5148714,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,33.8330701849169,23.2607115849399,58.6449747814885,0.443207387846983,0.153696148372493,0.603655610566485,2.30708044067827,0.394767930363911,0.89792411358539,10.891607084316
South Dakota,884659,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,30.0195730530865,49.3533090709252,,0.287689419250744,9.88544288659015,0.352261328873014,,,0.946992792034396,4.23398889002304
Tennessee,6829174,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.0931420844637,19.7849591332955,,0.541494820012864,0.235489697232842,0.614016516544669,,,0.930125289927457,7.55795461865466
Texas,28995881,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,17.5484946354086,46.6923391910422,,0.353543537646638,0.440736082580099,0.414601751404991,,,0.319028560737522,8.01918880894372
Utah,3205958,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,28.2358420258604,29.0205410920255,63.2371672502397,0.425396245256241,0.206181733797768,0.542981999960584,4.31960452822267,0.399033008788784,0.232012412985885,12.0567254804296
Vermont,623989,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.781864382228,23.5125078316079,47.8902710381021,0.430427846213593,0.23930003613066,0.669076422750647,0.793445259837873,0.435813412891168,0.61511140911414,2.40181081899337
Virginia,8535519,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,32.7409185399546,10.6727445075269,,0.760566134607724,0.0898654395325226,0.728408371562613,,,0.0568121596971049,4.83239374220237
Washington,7614893,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,23.4310309498635,21.3460945746701,,0.480838590409784,0.142167881185728,0.628148876100045,,,0.966790066917313,4.31184907157102
West Virginia,1792147,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,51.7866584614557,1.30519436405459,,1.91422586927788,0.241273114626894,0.884227191964275,,,0.992326504850228,4.23003351359856
Wisconsin,5822534,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.5589809027821,1.07947236107052,,3.52765929350691,0.242556492365002,0.930571052528218,,,0.0733983392127347,6.11599624283004
Wyoming,578759,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.0415916008686,1.73723227594862,,1.08822825661227,0.169500552313135,0.815453495353998,,,0.936850266306236,2.71193673388734
