Metropolitan_Statistical_Area,S_0,I_0,m_b,rel_E,rel_A,k_L,k_Q,j_Q,f_A,f_H,f_R,c_A,c_I,c_H,t_0,t_delta,t_delta2,t_delta3,b,lambda_0,p_0,lambda_1,p_1,lambda_2,p_2,f_D,r
"Memphis, TN-MS-AR MSA",1346045,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.8775351037376,14.3449970242378,,,0.653803148610184,0.290223678967865,0.652933818709252,,,,,0.581749235894865,3.90163711131387
"Richmond, VA MSA",1291900,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,28.8100213719353,40.7574213170655,,,0.357211712685602,8.10553282599087,0.378623139006918,,,,,0.140981840555106,5.87134923521005
"New Orleans-Metairie, LA MSA",1270530,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,37.6417151782864,9.36512768447338,34.334956348533,,0.913561066821848,0.0702663135075906,0.976127553190142,0.0409008763607575,0.775858951932791,,,0.226632570840426,2.77414663511281
"Louisville/Jefferson County, KY-IN MSA",1265108,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,25.1489267626314,41.165956439974,,,0.374459617028432,2.483039424822,0.40362699267594,,,,,0.060429817141972,2.59314805650938
"Salt Lake City, UT MSA",1232696,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,30.1302990488193,31.3074419964915,,,0.35188028534937,0.381398898446027,0.422412736200752,,,,,0.747786178133509,8.08742889497799
"Hartford-East Hartford-Middletown, CT MSA",1204877,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.8294208162775,6.8000992498293,,,1.30829818430216,0.186274260995834,0.783630099559638,,,,,0.0496530816248697,4.32136046252638
"Buffalo-Niagara Falls, NY MSA",1127983,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.3668718472897,3.69689406898428,,,2.20375119950031,0.233846511600782,0.87678757717514,,,,,0.0471810300227107,4.92934272995747
"Birmingham-Hoover, AL MSA",1090435,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.1187299798671,2.76672426599977,48.8656277663691,,1.32536298469563,0.173918924283105,0.864082073221672,1.69890676357419,0.731654203398044,,,0.807114631889056,6.55948689791626
"Grand Rapids-Kentwood, MI MSA",1077370,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,39.271480835821,6.13840193173631,,,1.19145993449646,0.216984894169506,0.747027458169583,,,,,0.0226849453417144,3.42055530949519
"Rochester, NY MSA",1069644,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.7959211760808,17.8739534423837,,,0.718900187314893,0.314549460358673,0.645730065040782,,,,,0.0280766767399347,6.73951456796271
"Tucson, AZ MSA",1047279,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.4670380190934,18.7504790395793,58.1153520484865,,0.507771490940511,0.243495214458295,0.609031340321762,0.386899117551477,0.462317243598286,,,0.382755209667637,3.5047141074231
"Fresno, CA MSA",999101,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.8348435815639,21.2726958258162,,,0.357629876986222,0.163830051086945,0.457855313411046,,,,,0.682705221061228,0.992665587664847
"Tulsa, OK MSA",998626,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.4782218171093,25.1519652270451,62.2451412823691,,0.442090019922303,0.513214976897946,0.539569709940211,0.951483752577326,0.312092353851598,,,0.282701256919384,3.49206704449454
"Urban Honolulu, HI MSA",974563,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,33.2774128028891,4.70532835907073,82.6518498655064,,1.17364519114494,0.0952651034899965,0.717605490163061,0.767331306463622,0.169236549879968,,,0.00124902720396338,5.2372260065567
"Omaha-Council Bluffs, NE-IA MSA",949442,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,20.4397053647146,1.68158675179368,,,7.63232915210163,9.49852482983438,0.932529990110543,,,,,0.0373392739835707,3.70975885796644
"Worcester, MA-CT MSA",947404,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,33.1082231932396,28.9838014375903,,,0.50276142330167,0.540641846369185,0.452728998915389,,,,,0.0503737727479398,4.98231392488844
"Bridgeport-Stamford-Norwalk, CT MSA",943332,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.9378604830412,10.357880192448,,,0.699593411449092,0.0936895995027834,0.796877237787663,,,,,0.946231260540612,2.70985518312187
"Greenville-Anderson, SC MSA",920477,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.9987296837642,4.0240795886981,67.8357135953264,,1.37521769704489,0.196506722739666,0.842483417004778,5.93868078780439,0.689216757067652,,,0.161146713800131,3.57096787550448
"Albuquerque, NM MSA",918018,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,28.8280089191106,41.8192858377078,,,0.295123911577693,6.33602765261831,0.364647037370597,,,,,0.941390442472611,7.97540902528356
"Bakersfield, CA MSA",900202,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.8991254238166,9.63124083221681,,,0.745982688860468,0.357028474619218,0.669029686032683,,,,,0.845918262601179,3.55159993244222
"Albany-Schenectady-Troy, NY MSA",880381,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,31.7744878058422,22.9871185784331,,,0.663396003976681,7.43222361753993,0.536175677997411,,,,,0.0198120642411469,4.56795074589373
"Knoxville, TN MSA",869046,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.4669316160575,17.0081208517207,,,0.456441213231087,1.76904631834468,0.485103371538187,,,,,0.951767986548644,2.29832812528241
"McAllen-Edinburg-Mission, TX MSA",868707,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,60.2029980596065,1.06365032039246,,,10.2246613805249,6.5319999007102,0.97266295431347,,,,,0.956371666692846,0.638857955502305
"Baton Rouge, LA MSA",854884,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.893749007143,1.01630881346088,,,2.53761040025467,0.236706579260364,0.916432950301521,,,,,0.906453519838988,2.35875826414861
