Metropolitan_Statistical_Area,S_0,I_0,m_b,rel_E,rel_A,k_L,k_Q,j_Q,f_A,f_H,f_R,c_A,c_I,c_H,t_0,t_delta,t_delta2,t_delta3,b,lambda_0,p_0,lambda_1,p_1,lambda_2,p_2,f_D,r
"Binghamton, NY MSA",238691,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,30.48759942798,31.9105073811151,,,0.411946921052249,0.499693393411878,0.419152167985147,,,,,0.0168378393100648,3.41988464695993
"Appleton, WI MSA",237974,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.7520182947976,3.77061931344052,,,1.54605103351356,0.322842469666893,0.805498015127712,,,,,0.0185821290596678,4.99868889785946
"Prescott Valley-Prescott, AZ MSA",235099,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.7139516469172,13.2258581628595,,,0.477110427962242,4.07895760678033,0.490163505615976,,,,,0.94278545458753,0.951623210719544
"Lafayette-West Lafayette, IN MSA",233002,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.9756444297843,1.10838055391101,,,3.81710374817151,0.402488949719557,0.907081425256058,,,,,0.0144517212087447,3.16309791888634
"Tyler, TX MSA",232751,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.9128068189179,2.64836608857475,,,0.741718859073103,0.185231578461858,0.723130561496813,,,,,0.945652340114676,0.531190191003755
"Topeka, KS MSA",231969,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,51.112748622269,10.6786743302096,,,1.13858559252674,4.67340004315505,0.683772949059356,,,,,0.0209940941980518,1.25297446850089
"Macon-Bibb County, GA MSA",229996,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.1923612636576,5.3814765273948,,,0.583618289051672,0.102991902484892,0.714200876480834,,,,,0.904427381579452,1.94601758558014
"Bellingham, WA MSA",229247,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.580637838054,16.1691999856716,,,0.488189155665889,9.08196494620159,0.530552869188932,,,,,0.8361721136926,0.942100698035676
"Champaign-Urbana, IL MSA",226033,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.8075665636909,14.0786011532727,,,0.860703609802042,8.09518168331265,0.596871147889398,,,,,0.0161068329379212,2.10675186847041
"Daphne-Fairhope-Foley, AL MSA",223234,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.2185445254839,19.750747746935,,,0.358081654760687,0.280304144175214,0.47115656650654,,,,,0.654439674957952,2.92860406530453
"Hilton Head Island-Bluffton-Beaufort, SC MSA",222195,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.6554026664997,27.1662712819217,33.5634802681211,,0.359687071802303,7.23150619981579,0.51332744688977,0.041175949685,0.378042566318271,,,0.73089852871681,4.149549244169
"Rochester, MN MSA",221921,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.8531204822255,10.8605372437979,,,0.536373623193406,0.285709766601763,0.597009822949923,,,,,0.826959765361316,3.40257347074913
"Medford, OR MSA",220944,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.7746097774412,25.3202377797703,,,0.262737687738077,7.13367663295311,0.308615312664964,,,,,0.937045016276046,0.464376776872305
"Burlington-South Burlington, VT MSA",220411,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.9621520469827,0.0942486541174442,80.9357370947407,,1.94120431952051,0.192607605453938,0.737659917188645,8.9467192760568,0.137824293047982,,,0.00608502172629594,1.46462931686749
"Chico, CA MSA",219186,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,55.9763881498962,0.403933582228545,,,15.3359853284207,6.45630227376548,0.998410572753604,,,,,0.215816419934682,0.674476165824986
"Charlottesville, VA MSA",218615,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.4301705297741,0.445082832113042,,,2.58434464505097,0.243237391938691,0.882934748076347,,,,,0.0213240532602203,1.18863106827309
"Las Cruces, NM MSA",218195,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,55.0181301244124,1.38177522406601,,,16.1791302379043,5.33297808641204,0.993635757372267,,,,,0.0196743741823461,2.87903243099622
"Yuma, AZ MSA",213787,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.9928455580104,2.94370773246763,,,1.61721945472618,5.87147263520378,0.712593470379213,,,,,0.192468851752477,4.5310679561319
"Athens-Clarke County, GA MSA",213750,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.0491272203648,1.38435918501866,,,1.23611704598058,0.212718215838208,0.82413608185292,,,,,0.922601203500485,2.06506610624058
"Barnstable Town, MA MSA",212990,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.4276938347199,17.721052149594,,,0.692254126988296,0.450326447365745,0.633939335348918,,,,,0.0539869714337543,2.24965081681645
"Lake Havasu City-Kingman, AZ MSA",212181,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,59.7185095583279,2.14171276964977,,,8.37086386943514,9.58250556963685,0.950699925827785,,,,,0.031013365604093,2.62482535570013
"Lake Charles, LA MSA",210409,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.6543473497626,18.1832881615311,61.2176959625316,,0.491482090329619,2.82605050736356,0.554134856182238,7.42618420723486,0.375954013694334,,,0.872556284495789,2.09550739598073
"Columbia, MO MSA",208173,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.3623461297347,0.288305675680608,49.5748201899958,,8.10998758873998,0.379124522796924,0.986456015608258,0.341213366756912,0.937580323805764,,,0.00634122726053248,2.10259677113223
"Houma-Thibodaux, LA MSA",208075,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.9986918096298,29.359145108053,,,0.363081300305553,3.32422006120654,0.442364539340188,,,,,0.943429192320851,2.38836419335597
"Springfield, IL MSA",206868,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.7413996958708,2.83604988956252,,,4.61775031347344,1.45073631725134,0.884423470532096,,,,,0.00653052627791628,1.31177324176034
"Elkhart-Goshen, IN MSA",206341,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,51.8320218518016,3.6753342929943,,,1.15520894346843,0.245103147194593,0.764385249587302,,,,,0.170427460680907,4.02729289864432
"Florence, SC MSA",204911,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.2259529603787,5.73118595687369,,,0.496543019888369,0.0801303893551624,0.670759720173521,,,,,0.992192074220808,4.46685891257269
"Gainesville, GA MSA",204441,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.7046181595496,3.49164750496892,,,0.643203592243052,0.0703794751313759,0.774565081892251,,,,,0.890890538828794,1.2443591817243
"Johnson City, TN MSA",203649,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,54.0650887887726,0.98259963616462,,,4.34093446066782,1.26058755604472,0.917046261165439,,,,,0.601042361117771,0.496645515172839
"St. Cloud, MN MSA",201964,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.4090868868318,0.0213815968818075,,,1.39327654973585,0.471008959714009,0.666796989063643,,,,,0.0255509142245892,1.06685362883784
"Monroe, LA MSA",200261,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.6632010760456,7.75045408252947,,,0.852814013319716,0.301605457972206,0.722586419595354,,,,,0.847099521941977,2.19496139503872
"Jacksonville, NC MSA",197938,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.3812832046538,25.0293960377514,,,0.256179139089865,4.93003229632343,0.245047738170726,,,,,0.997850020193931,1.49302738960857
"Bend, OR MSA",197692,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.8003287729146,3.1435985585231,,,0.660412626841598,0.163658401782273,0.719826584102745,,,,,0.797486421782172,2.06370738335257
"Racine, WI MSA",196311,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,29.574321675308,35.6607074741096,,,0.342344351633888,3.32941705918489,0.23972471423663,,,,,0.0397547832183016,2.31957244226925
"Saginaw, MI MSA",190539,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.9573629818726,2.32764149544293,,,1.0268741929794,0.140913244245465,0.831931012625669,,,,,0.979429062048249,4.55035733461541
"Punta Gorda, FL MSA",188910,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.3803019609942,25.8293268072971,,,0.36215022774717,0.158843169761035,0.515915550694419,,,,,0.158113282797976,2.84424877993236
"Terre Haute, IN MSA",186367,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.1848208550134,29.348484728596,,,0.436029856589332,4.27382948601363,0.424400466575118,,,,,0.0113993914865912,2.05262909805656
"Warner Robins, GA MSA",185409,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.5358458962114,17.6640589235902,,,0.433289242482977,0.713519938363702,0.508556451335887,,,,,0.940100399123803,2.38769583648926
"Midland, TX MSA",182603,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,54.6744342692134,7.67760958079473,,,0.619963405765613,7.94742540735389,0.553627858026111,,,,,0.948784471890328,0.47757429659329
"Billings, MT MSA",181667,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,37.7979262865848,24.8011033044305,43.570060795581,,0.322294128801952,0.237730587925564,0.586433549567449,7.36140534157011,0.284960903020989,,,0.555443707949734,2.95473545356669
"El Centro, CA MSA",181215,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,54.7678800416873,1.74455649568468,,,6.66600298408966,6.50724208408596,0.924636823451079,,,,,0.21625436106056,0.596043662408849
"Dover, DE MSA",180786,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,28.1794145783149,45.3681144318174,,,0.33826678181207,6.53930777457233,0.334546838275995,,,,,0.0476449575621852,3.35092850647769
"Greenville, NC MSA",180742,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.2064125031399,3.72782927872136,,,1.04859257746093,0.389883628370072,0.742547848097994,,,,,0.605928198275301,3.02594884609247
"Redding, CA MSA",180080,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.3650438571132,30.3305592611134,31.8884932560286,,0.269823448236888,8.55867682669961,0.515974629164038,6.71542864784325,0.144094251638092,,,0.611699231020348,1.38203726269629
"Joplin, MO MSA",179564,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.7936048643227,7.77954790715832,60.1793841054386,,0.628244632599688,7.77962555159304,0.607132745209784,1.10879105326358,0.339685742072699,,,0.88565214302687,2.27479940092921
"Bowling Green, KY MSA",179240,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,40.3448498006125,38.7259463155983,,,0.271139977039362,0.0844563828320717,0.465208812987233,,,,,0.932315249398503,1.69195885811149
"Jackson, TN MSA",178644,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.6539308199912,22.2557393213692,,,0.361873416630289,5.5570142825726,0.467862657027796,,,,,0.968349234208234,1.26356655209092
"Kingston, NY MSA",177573,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,28.5965204061993,34.7266003784849,,,0.423846160919433,7.64334409554718,0.387596907932035,,,,,0.0381017317507644,3.18512528661832
"St. George, UT MSA",177556,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.6116184531829,30.0883837965841,,,0.253249842268553,4.98504365597942,0.19676620634492,,,,,0.653461675993004,1.28631176255979
"Yuba City, CA MSA",175639,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,50.0596084720663,16.4472555370008,24.8210742765982,,0.396828058269679,3.92472062632827,0.601839836871797,6.35666583720298,0.372480717971867,,,0.960296725835628,4.23429437036805
"Panama City, FL MSA",174705,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.5781783692717,4.4362959141434,46.79541919869,,0.515692200841025,0.0784609057662947,0.835215648704849,4.88336790032776,0.443465300665881,,,0.963510441849178,3.91241834142114
"Muskegon, MI MSA",173566,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,55.374000352248,1.90832559017154,,,3.71060585209431,0.447817732655253,0.902782038627879,,,,,0.022458528700681,2.59541133376118
"Iowa City, IA MSA",173105,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.3476764548803,3.77527723663768,88.0207319266061,,2.98940352794054,0.868636495546809,0.833771974535608,6.41665278512183,0.598591933802594,,,0.0150306952484269,3.62368315112335
"Abilene, TX MSA",172060,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,62.2527379992888,2.03864804413089,,,10.817564527695,7.94469215209476,0.962904782779782,,,,,0.0289422827519792,0.380202393349311
"Oshkosh-Neenah, WI MSA",171907,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.5525125817673,2.43038807480073,,,3.82698910519665,6.33241344652653,0.872601845073931,,,,,0.0561267420486718,3.73507697328145
"Bloomington, IL MSA",171517,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.6976017048035,2.09956470448801,,,11.7070983277445,5.79939211876088,0.981046296081384,,,,,0.0112064040076778,0.91297903607573
"East Stroudsburg, PA MSA",170271,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.9667974189212,30.7926750802542,,,0.366322595693101,6.39308847183966,0.50021064676593,,,,,0.973343999762459,6.35452153280506
"Burlington, NC MSA",169509,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,57.7732745280327,0.819131598382348,,,6.44136027995704,6.65194275362645,0.930628459281396,,,,,0.989914963958511,3.01632201583653
"Eau Claire, WI MSA",169304,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.6951958188928,1.4286384398515,,,12.1842757114526,6.34832759800682,0.986206333493138,,,,,0.0470897517009645,2.3401278417607
"Bloomington, IN MSA",169230,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.3041815522309,2.84246480983121,,,1.16073267388776,0.21367763434064,0.826683334304872,,,,,0.655351847529532,1.44515223000161
"Hattiesburg, MS MSA",168849,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,14.0512494435822,56.9133989360416,,,0.27846975926897,3.01750586777525,0.222839775232384,,,,,0.0363362138259329,3.0544420592939
"Waterloo-Cedar Falls, IA MSA",168522,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.2284946964125,42.1413007484864,,,0.304994884351792,7.55826823889997,0.444362460172184,,,,,0.984029943355641,2.27247829223472
"Pueblo, CO MSA",168424,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,32.2390308224474,32.2969909426035,,,0.398049213686364,6.6972894786789,0.389489395552039,,,,,0.0140418877226646,1.27410003569006
"Blacksburg-Christiansburg, VA MSA",167531,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,60.9436849693641,11.3071630932206,,,0.58706670942233,8.3856882500484,0.567931733092466,,,,,0.492666794192649,0.769819526156945
"Kahului-Wailuku-Lahaina, HI MSA",167417,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,30.1572834517145,0.049636805316094,,,0.85410139671393,0.0680312124832065,0.678998431026955,,,,,0.00259555952804991,3.91760439461237
"Odessa, TX MSA",166223,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,64.6716750236512,0.551247965887176,,,12.7704022057751,8.34239388170491,0.98661558859956,,,,,0.91363313587651,0.597082009412057
"Coeur d'Alene, ID MSA",165697,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.8244691354985,14.8810094574958,45.1830956516194,,0.464422642499391,4.68962270452176,0.612243452503508,1.66723159540338,0.369518181769453,,,0.84757065899188,1.08547801226687
"Auburn-Opelika, AL MSA",164542,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.6813457357537,4.45578317752175,53.2919460088064,,0.691961191177549,0.0976647309120321,0.825926157582702,4.64059768660456,0.556888453815804,,,0.903458293037809,3.62337408604519
"Janesville-Beloit, WI MSA",163354,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,54.1856078198893,2.10281541286335,,,8.69214417389641,8.6875921498998,0.943510774215145,,,,,0.0202399226784104,1.89311865662414
"Wausau-Weston, WI MSA",163285,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.7284658686724,14.2640265984436,,,0.285752117823193,5.67584908025059,0.273905451129457,,,,,0.87489345810472,2.86176048547182
"State College, PA MSA",162385,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,53.6537532956016,6.37814768777181,,,0.840129594257569,0.89286573063179,0.686318276899065,,,,,0.885762748380244,1.69391059872147
"Sebastian-Vero Beach, FL MSA",159923,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.4318930839634,4.90704072585381,52.8808943663313,,0.775390721192378,0.215541138816555,0.780587897849768,0.0463260600939152,0.619514029120196,,,0.849749966851556,8.69893469110462
"Jackson, MI MSA",158510,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.4253723574706,16.8211117727231,,,0.688860621808007,9.10670108944804,0.496659489685476,,,,,0.043904449917522,0.540654824940316
"Madera, CA MSA",157327,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.0985507225862,23.0583458122015,,,0.259934774666769,8.21335565839832,0.234804316199512,,,,,0.879194646848566,0.871909849216165
"Chambersburg-Waynesboro, PA MSA",155027,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.522531868069,0.0797266891396268,,,1.61834219646606,0.170529155095452,0.81176109667769,,,,,0.0230667835449244,4.49474928490788
"Grand Junction, CO MSA",154210,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,46.6051446844607,14.6892834122745,,,0.34955715916708,2.32170173570407,0.410110957172206,,,,,0.967022315205727,0.775857037369311
"Elizabethtown-Fort Knox, KY MSA",153928,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,55.6283836161612,2.62038104306842,,,7.88652544736011,7.34054080588594,0.944567289743685,,,,,0.00559470223187165,1.07813079989441
"Niles, MI MSA",153401,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,56.0029476572,1.45970463024427,,,16.5721136050299,5.35196373170387,0.993698785360328,,,,,0.0269225109846016,1.55395196778739
"Hanford-Corcoran, CA MSA",152940,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,61.5583365026705,1.28218232334211,,,9.63564083799389,8.27090963798556,0.943334564787566,,,,,0.0461147436671506,0.726271891534244
"Decatur, AL MSA",152603,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,58.9336901475623,0.747524312892452,,,7.45745077545479,7.77546477072037,0.943966761388386,,,,,0.971648113166657,2.79836472508768
"Bangor, ME MSA",152148,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.6594120475968,4.33670620957368,,,4.2983939796283,5.09042813043275,0.869285054528292,,,,,0.00214838961628834,1.45700454242893
"Alexandria, LA MSA",152037,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,54.761742941948,2.31748692224871,,,2.2661030647916,0.663821720441485,0.850191017864914,,,,,0.791075691807651,1.71620702948385
"Idaho Falls, ID MSA",151530,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,60.0689033734514,0.74054521414529,,,6.62515701640225,9.15986186405446,0.944281614129696,,,,,0.751646811255126,0.449428195130675
"Wichita Falls, TX MSA",151254,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,48.0581833409581,15.26163606354,62.8312884083505,,0.431380042444942,7.41271263375248,0.539629881876488,7.81687900492249,0.214878091648441,,,0.877952826285763,0.811137287415821
"Jefferson City, MO MSA",151235,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.4591668932861,16.0731287831603,,,0.448018083016648,6.49727726104083,0.526111001409345,,,,,0.886235347637151,2.68729254454357
"Monroe, MI MSA",150500,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.2963785500205,12.9347527146284,,,0.486475684132149,0.230539077335768,0.613903982728025,,,,,0.985828697890936,1.25295350543559
"Santa Fe, NM MSA",150358,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,38.7317338013606,21.2026550170819,,,0.32325703893774,7.03523044092549,0.383419054555727,,,,,0.912643167541563,2.6441113005274
"Homosassa Springs, FL MSA",149657,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.7834263713163,34.0092810770064,56.4449431349365,,0.284057266883843,3.18911960741023,0.430757018237735,8.37466004913744,0.022808988667686,,,0.548373493562837,10.8956076532353
"Vineland-Bridgeton, NJ MSA",149527,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.4601645249729,0.137133643143164,,,1.7861127957828,0.173229968624824,0.841876939607323,,,,,0.0951633794576881,3.31439738104027
"Dothan, AL MSA",149358,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,57.2130027468105,0.186129812273798,,,1.8437024351425,0.271420468858047,0.8636714385572,,,,,0.583075759176079,3.55094533497139
"Texarkana, TX-AR MSA",148761,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.1264096897755,20.4355680245822,,,0.387572652526796,6.71674336410528,0.414650450447218,,,,,0.466396023425305,0.744108331830967
"Florence-Muscle Shoals, AL MSA",147970,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,54.3908839449502,1.98785522896652,,,7.35202371349485,5.74652109559557,0.938766916638242,,,,,0.0331090016397368,4.44533901045284
"Valdosta, GA MSA",147292,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,42.3443186607477,8.35577273418045,,,0.430388110904981,0.150756753715649,0.526980358004333,,,,,0.857805989985006,1.84226696563301
"Albany, GA MSA",146726,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.6771009078612,12.1838410940909,,,0.691583788486973,0.209997599333531,0.734419266936123,,,,,0.824815178897148,1.63586479949815
"Rocky Mount, NC MSA",145770,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,55.3454391493233,9.61858756682637,,,0.52588656778955,0.199518962368465,0.621650300438777,,,,,0.851774275977304,3.36360221775499
"Dalton, GA MSA",144724,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,44.7442046219086,18.8784015993967,,,0.439551017116835,4.16383308739378,0.423589004191384,,,,,0.164598041521685,3.77155955460394
"Sioux City, IA-NE-SD MSA",144701,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,55.5696228973415,37.5647672750218,,,0.346110850485691,0.35750664141048,0.523687195688109,,,,,0.97888554133277,2.17475366813513
"Flagstaff, AZ MSA",143476,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,49.8676235050496,2.77507565005165,,,1.87206357385678,0.291622381347424,0.858617202995383,,,,,0.183044431692444,4.1246804546601
"Morristown, TN MSA",142749,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,45.8321915763098,11.5017947071317,,,0.353929640586525,8.33347762683671,0.362878678980428,,,,,0.972165375409161,0.95728747279339
"Logan, UT-ID MSA",142165,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,24.8908171476315,45.9868095971403,26.4661598524794,,0.297683969869783,0.65704534232465,0.576327237347508,2.82628100624968,0.0041258528536127,,,0.0236849132357134,1.3505969175304
"Rapid City, SD MSA",142107,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.9596054619244,5.21941669690384,,,1.25430673502796,4.44954168380495,0.653455997706037,,,,,0.0136852428779886,3.45915964726728
"Lebanon, PA MSA",141793,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.8328703276038,34.9186794620175,45.7776172508112,,0.437571136777787,2.66886675927343,0.392535031054437,5.80337654136679,0.0287368298741567,,,0.0227537533456182,5.21387450645546
"Winchester, VA-WV MSA",140566,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,59.6061049526003,1.93909290910987,,,11.6557131242507,9.73178803066546,0.976222912590321,,,,,0.0228699443218879,2.39702805715291
