Metropolitan_Statistical_Area,Detected_cumulative_newCases,Vaccinations_completed,Vaccinations_countdown
"Columbus, OH MSA",207524,932467,1052713
"Indianapolis-Carmel-Anderson, IN MSA",222029,884734,806469
"Cleveland-Elyria, OH MSA",184798,950008,712064
"San Jose-Sunnyvale-Santa Clara, CA MSA",125977,1212722,0
"Nashville-Davidson–Murfreesboro–Franklin, TN MSA",261785,679220,925001
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",136420,615905,747756
"Providence-Warwick, RI-MA MSA",206972,805029,580641
"Jacksonville, FL MSA",192876,632437,805669
"Milwaukee-Waukesha, WI MSA",154548,528288,714711
"Oklahoma City, OK MSA",155072,505812,919702
"Raleigh-Cary, NC MSA",118979,673227,256443
"Memphis, TN-MS-AR MSA",127205,340099,876822
"Richmond, VA MSA",94135,526406,429053
"New Orleans-Metairie, LA MSA",122224,510652,785492
"Louisville/Jefferson County, KY-IN MSA",133745,535664,387638
"Salt Lake City, UT MSA",159534,456801,411359
"Hartford-East Hartford-Middletown, CT MSA",106704,632319,520482
"Buffalo-Niagara Falls, NY MSA",109596,561399,564674
"Birmingham-Hoover, AL MSA",130561,336662,780129
"Grand Rapids-Kentwood, MI MSA",123493,468175,560959
"Rochester, NY MSA",90930,550494,392459
"Tucson, AZ MSA",116980,403769,438486
"Tulsa, OK MSA",102783,366114,362416
"Fresno, CA MSA",111765,333419,439167
"Urban Honolulu, HI MSA",27469,461685,319275
"Omaha-Council Bluffs, NE-IA MSA",116468,410019,583143
"Worcester, MA-CT MSA",88208,456716,310387
"Bridgeport-Stamford-Norwalk, CT MSA",100257,493839,322048
"Greenville-Anderson, SC MSA",125284,300248,530264
"Albuquerque, NM MSA",79078,443350,145908
"Bakersfield, CA MSA",110604,278344,540927
"Albany-Schenectady-Troy, NY MSA",66167,494927,264528
"Knoxville, TN MSA",98092,317371,376278
"McAllen-Edinburg-Mission, TX MSA",90037,396186,514295
"Baton Rouge, LA MSA",82296,278422,600345
"North Port-Sarasota-Bradenton, FL MSA",92136,434410,360947
"New Haven-Milford, CT MSA",81554,415671,175988
"Columbia, SC MSA",136876,410215,153845
"Allentown-Bethlehem-Easton, PA-NJ MSA",91953,388855,280792
"El Paso, TX MSA",94152,290763,361664
"Oxnard-Thousand Oaks-Ventura, CA MSA",71609,368417,189293
"Charleston-North Charleston, SC MSA",78569,317799,486426
"Dayton-Kettering, OH MSA",80108,298701,339526
"Cape Coral-Fort Myers, FL MSA",71631,305521,496518
"Greensboro-High Point, NC MSA",71918,306374,272466
"Boise City, ID MSA",74401,265382,459082
"Stockton, CA MSA",83891,286115,337364
"Colorado Springs, CO MSA",73978,247542,389440
"Little Rock-North Little Rock-Conway, AR MSA",75590,251303,348341
"Lakeland-Winter Haven, FL MSA",71204,222561,336292
"Des Moines-West Des Moines, IA MSA",61565,313377,280631
"Akron, OH MSA",82387,318797,395382
"Springfield, MA MSA",64092,323114,287766
"Ogden-Clearfield, UT MSA",76086,226722,291072
"Deltona-Daytona Beach-Ormond Beach, FL MSA",77786,300549,374503
"Winston-Salem, NC MSA",66236,260701,239364
"Poughkeepsie-Newburgh-Middletown, NY MSA",51950,250825,229146
"Madison, WI MSA",58364,344463,224707
"Provo-Orem, UT MSA",51094,341223,269690
"Durham-Chapel Hill, NC MSA",98919,185363,303697
"Syracuse, NY MSA",48579,324586,218885
"Wichita, KS MSA",60901,254218,323509
"Toledo, OH MSA",71069,206047,314473
"Augusta-Richmond County, GA-SC MSA",68851,164009,417949
"Palm Bay-Melbourne-Titusville, FL MSA",42604,234527,344932
"Jackson, MS MSA",50654,192578,332054
"Harrisburg-Carlisle, PA MSA",50460,241612,164247
"Spokane-Spokane Valley, WA MSA",49859,204903,155386
"Chattanooga, TN-GA MSA",66287,178590,281390
"Scranton–Wilkes-Barre, PA MSA",52499,257420,186009
"Modesto, CA MSA",63190,183561,195961
"Fayetteville-Springdale-Rogers, AR MSA",42608,213146,218593
"Lansing-East Lansing, MI MSA",55311,234272,231266
"Lancaster, PA MSA",32105,330866,214560
"Portland-South Portland, ME MSA",48524,208276,233949
"Youngstown-Warren-Boardman, OH-PA MSA",62366,166926,318587
"Fayetteville, NC MSA",46764,126120,307293
"Lexington-Fayette, KY MSA",53572,242995,96544
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC MSA",51451,142668,253143
"Pensacola-Ferry Pass-Brent, FL MSA",48794,203550,306223
"Port St. Lucie, FL MSA",30688,275581,38570
"Santa Rosa-Petaluma, CA MSA",53031,252895,231676
"Lafayette, LA MSA",49514,136210,283107
"Huntsville, AL MSA",46137,210794,120017
"Reno, NV MSA",45780,154212,247111
"Springfield, MO MSA",48377,140631,235544
"Visalia, CA MSA",49758,147530,167093
"Killeen-Temple, TX MSA",34401,210591,247238
"Asheville, NC MSA",34383,105121,275691
"York-Hanover, PA MSA",46859,176320,149246
"Vallejo, CA MSA",33574,189954,281540
"Santa Maria-Santa Barbara, CA MSA",34577,214273,212820
"Salem, OR MSA",43791,201594,204279
"Salinas, CA MSA",27195,180209,155252
"Corpus Christi, TX MSA",41925,110236,211848
"Mobile, AL MSA",45502,165338,288026
"Brownsville-Harlingen, TX MSA",41590,202805,101694
"Salisbury, MD-DE MSA",48293,162497,134842
"Reading, PA MSA",24065,69851,364927
"Gulfport-Biloxi, MS MSA",36287,194593,112520
"Manchester-Nashua, NH MSA",40134,184489,240407
"Fort Wayne, IN MSA",45724,153140,244704
"Flint, MI MSA",41688,147670,262774
"Anchorage, AK MSA",47348,152131,158248
"Peoria, IL MSA",35253,152130,120110
"Canton-Massillon, OH MSA",42416,150747,166654
"Savannah, GA MSA",44115,112506,227651
"Naples-Marco Island, FL MSA",32068,123221,273223
"Shreveport-Bossier City, LA MSA",34559,102182,319277
"Beaumont-Port Arthur, TX MSA",42927,135349,128522
"Tallahassee, FL MSA",35994,178039,104116
"Eugene-Springfield, OR MSA",13772,189320,171182
"Davenport-Moline-Rock Island, IA-IL MSA",42090,154956,206569
"Ocala, FL MSA",43996,94966,257209
"Montgomery, AL MSA",43737,128685,226230
"Hickory-Lenoir-Morganton, NC MSA",27074,191129,98131
"Trenton-Princeton, NJ MSA",34090,181628,150246
"Ann Arbor, MI MSA",31951,132380,181362
"Fort Collins, CO MSA",27338,141569,176848
"Huntington-Ashland, WV-KY-OH MSA",34160,118678,151707
"Lincoln, NE MSA",33459,162303,172251
"Rockford, IL MSA",40882,130249,159682
"Greeley, CO MSA",26938,117042,150493
"Gainesville, FL MSA",23880,144494,163351
"Boulder, CO MSA",33063,94961,238094
"Lubbock, TX MSA",42450,132360,124988
"Spartanburg, SC MSA",43436,125605,73039
"Green Bay, WI MSA",50738,104878,140513
"South Bend-Mishawaka, IN-MI MSA",30423,72117,169643
"Columbus, GA-AL MSA",41919,84034,153014
"Evansville, IN-KY MSA",43929,144884,129598
"Clarksville, TN-KY MSA",26144,129699,129880
"Roanoke, VA MSA",30715,91108,139435
"Kingsport-Bristol, TN-VA MSA",32038,107936,113672
"Kennewick-Richland, WA MSA",30187,96345,166700
"Wilmington, NC MSA",25034,130340,130620
"Olympia-Lacey-Tumwater, WA MSA",10713,123694,81977
"Hagerstown-Martinsburg, MD-WV MSA",27791,127871,86825
"Crestview-Fort Walton Beach-Destin, FL MSA",26637,141093,122563
"Duluth, MN-WI MSA",28635,97897,194713
"Utica-Rome, NY MSA",18748,56704,141841
"Longview, TX MSA",27843,80621,149043
"San Luis Obispo-Paso Robles, CA MSA",21405,129468,138698
"Merced, CA MSA",32253,74178,222960
"Laredo, TX MSA",46724,138530,75740
"Waco, TX MSA",27640,79806,213477
"Cedar Rapids, IA MSA",16202,144495,59445
"Sioux Falls, SD MSA",26777,133891,129574
"Bremerton-Silverdale-Port Orchard, WA MSA",8628,109718,89067
"Santa Cruz-Watsonville, CA MSA",21171,115211,155964
"Erie, PA MSA",42455,119819,48941
"College Station-Bryan, TX MSA",22530,134998,106094
"Kalamazoo-Portage, MI MSA",30223,152779,116780
"Amarillo, TX MSA",35641,74840,134604
"Norwich-New London, CT MSA",32436,92322,185872
"Lynchburg, VA MSA",31582,123585,109447
"Atlantic City-Hammonton, NJ MSA",15817,64744,122109
"Charleston, WV MSA",21929,108795,136012
"Tuscaloosa, AL MSA",30766,66367,100270
"Yakima, WA MSA",31447,90625,106094
"Fort Smith, AR-OK MSA",34111,71530,118780
"Fargo, ND-MN MSA",32987,119690,77174
"Prescott Valley-Prescott, AZ MSA",22445,113815,66550
"Appleton, WI MSA",30401,88296,146566
"Binghamton, NY MSA",19421,82493,111853
"Tyler, TX MSA",25798,93573,147266
"Lafayette-West Lafayette, IN MSA",20588,69175,145059
"Bellingham, WA MSA",22769,94947,127273
"Topeka, KS MSA",22312,62535,139596
"Macon-Bibb County, GA MSA",9713,111206,78856
"Daphne-Fairhope-Foley, AL MSA",24493,105090,100723
"Hilton Head Island-Bluffton-Beaufort, SC MSA",21774,59122,108879
"Champaign-Urbana, IL MSA",19510,87261,94296
"Rochester, MN MSA",18915,123924,56481
"Medford, OR MSA",11420,86141,55872
"Las Cruces, NM MSA",9756,118090,63472
"Burlington-South Burlington, VT MSA",12576,77574,155744
"Charlottesville, VA MSA",10282,58150,169057
"Yuma, AZ MSA",25216,93820,136466
"Lake Havasu City-Kingman, AZ MSA",37275,83230,126153
"Athens-Clarke County, GA MSA",24039,71490,136799
"Barnstable Town, MA MSA",13926,0,203008
"Chico, CA MSA",23308,63516,162111
"Lake Charles, LA MSA",23579,51817,128813
"Columbia, MO MSA",27007,97359,118717
"Houma-Thibodaux, LA MSA",20695,57546,99342
"Gainesville, GA MSA",20319,94257,119537
"Elkhart-Goshen, IN MSA",29447,62016,137425
"Springfield, IL MSA",26519,69916,97503
"Johnson City, TN MSA",27901,55893,125053
"Florence, SC MSA",23616,72600,139761
"Jacksonville, NC MSA",28372,73393,123845
"St. Cloud, MN MSA",21310,50213,138746
"Bend, OR MSA",17668,38812,87968
"Monroe, LA MSA",9931,99451,75119
"Racine, WI MSA",25293,73607,62508
"Punta Gorda, FL MSA",22474,76838,102697
"Saginaw, MI MSA",13303,87150,51731
"Warner Robins, GA MSA",19147,60396,88450
"Terre Haute, IN MSA",18542,50932,98686
"St. George, UT MSA",17748,49195,113506
"Billings, MT MSA",19449,64282,66294
"Midland, TX MSA",28799,79564,109069
"Dover, DE MSA",18175,63087,66174
"Greenville, NC MSA",20376,67492,104351
"Bowling Green, KY MSA",12559,51781,52200
"El Centro, CA MSA",15243,0,192819
"Joplin, MO MSA",20747,54484,57571
"Jackson, TN MSA",13728,36943,101575
"Redding, CA MSA",13905,98262,36197
"Kingston, NY MSA",21366,46749,59689
"Yuba City, CA MSA",16029,55898,131004
"Iowa City, IA MSA",19844,48315,88946
"Muskegon, MI MSA",18344,70404,108810
"Abilene, TX MSA",17174,94309,1542
"Oshkosh-Neenah, WI MSA",19786,50049,133628
"Burlington, NC MSA",21468,63580,114638
"Panama City, FL MSA",18544,75586,104734
"Bloomington, IL MSA",14775,64024,62869
"Coeur d'Alene, ID MSA",18911,69119,108231
"East Stroudsburg, PA MSA",19658,69623,108988
"Eau Claire, WI MSA",17138,86331,73325
"Pueblo, CO MSA",18064,48892,60323
"Hattiesburg, MS MSA",20316,84451,18939
"Bloomington, IN MSA",19406,45418,85324
"Waterloo-Cedar Falls, IA MSA",14306,63120,82213
"Kahului-Wailuku-Lahaina, HI MSA",4788,75935,80505
"Odessa, TX MSA",17470,43086,135269
"Blacksburg-Christiansburg, VA MSA",18850,49748,125731
"Auburn-Opelika, AL MSA",16234,50371,105828
"Wausau-Weston, WI MSA",18342,65011,106909
"Janesville-Beloit, WI MSA",16404,49697,57944
"Sebastian-Vero Beach, FL MSA",16891,72990,74970
"State College, PA MSA",12802,70426,97950
"Madera, CA MSA",21003,62669,76370
"Jackson, MI MSA",16586,52605,42851
"Chambersburg-Waynesboro, PA MSA",15414,46739,108904
"Grand Junction, CO MSA",16486,40707,73361
"Idaho Falls, ID MSA",13350,55677,106860
"Elizabethtown-Fort Knox, KY MSA",15551,59642,103043
"Niles, MI MSA",23168,36196,127692
"Homosassa Springs, FL MSA",17735,42730,119587
"Decatur, AL MSA",6285,77174,79356
"Hanford-Corcoran, CA MSA",14834,41558,114834
"Wichita Falls, TX MSA",18034,48076,112118
"Santa Fe, NM MSA",17021,46659,113756
"Bangor, ME MSA",17741,47770,73318
"Alexandria, LA MSA",15392,48210,76434
"Monroe, MI MSA",10738,82500,18918
"Dothan, AL MSA",11401,56701,88018
"Jefferson City, MO MSA",17152,54584,95049
"Texarkana, TX-AR MSA",15255,38832,113201
"Florence-Muscle Shoals, AL MSA",11559,22779,96785
"Valdosta, GA MSA",15976,43419,113740
"Vineland-Bridgeton, NJ MSA",15663,31673,88004
"Rocky Mount, NC MSA",13336,44716,88398
"Albany, GA MSA",17325,51433,70113
"Sioux City, IA-NE-SD MSA",22113,37246,77049
"Rapid City, SD MSA",27324,70018,15594
"Logan, UT-ID MSA",17909,66346,75498
"Morristown, TN MSA",17679,41134,62998
"Dalton, GA MSA",17649,43000,103274
"Flagstaff, AZ MSA",16668,42269,97031
"Winchester, VA-WV MSA",16171,51754,58543
"Lebanon, PA MSA",10005,39904,110478
"Morgantown, WV MSA",10528,30871,106070
"Sumter, SC MSA",12328,57571,73467
"The Villages, FL MSA",13983,50794,52536
"Sherman-Denison, TX MSA",9987,78764,0
"Wheeling, WV-OH MSA",15305,65951,70538
"La Crosse-Onalaska, WI-MN MSA",11374,39172,103065
"Hammond, LA MSA",14138,47101,45992
"Napa, CA MSA",6847,32139,64051
"Harrisonburg, VA MSA",13008,35070,76177
"Jonesboro, AR MSA",14506,47970,75281
"Carbondale-Marion, IL MSA",14219,51889,45899
"Springfield, OH MSA",16880,33673,105725
"Battle Creek, MI MSA",9434,77889,38512
"Albany-Lebanon, OR MSA",12107,38328,56754
"Mount Vernon-Anacortes, WA MSA",14754,51459,45286
"Manhattan, KS MSA",5504,49302,87192
"Bismarck, ND MSA",5972,58295,52811
"Johnstown, PA MSA",21491,51591,84562
"Sierra Vista-Douglas, AZ MSA",14712,40492,93272
"Lawton, OK MSA",12116,50596,76918
"Cleveland, TN MSA",14701,24916,107001
"Pittsfield, MA MSA",6817,66726,58002
"Ames, IA MSA",6536,50916,39404
"Staunton, VA MSA",17410,31197,69435
"Glens Falls, NY MSA",11461,47015,33063
"Goldsboro, NC MSA",15592,57641,70389
"Farmington, NM MSA",13390,58495,67334
"New Bern, NC MSA",11400,35387,50337
"San Angelo, TX MSA",5963,31946,99527
"St. Joseph, MO-KS MSA",9373,54556,50168
"Lawrence, KS MSA",17048,37450,91875
"Missoula, MT MSA",13507,42588,83814
"Wenatchee, WA MSA",11598,37731,46696
"Altoona, PA MSA",10769,54534,28572
"Mansfield, OH MSA",9296,59119,7517
"Owensboro, KY MSA",12770,43941,62575
"Brunswick, GA MSA",10822,36563,77245
"Sheboygan, WI MSA",10747,43097,78137
"Weirton-Steubenville, WV-OH MSA",10548,44283,76887
"Beckley, WV MSA",14796,46758,73536
"California-Lexington Park, MD MSA",10962,41118,79140
"Anniston-Oxford, AL MSA",14692,28263,55796
"Muncie, IN MSA",6039,48651,50937
"Williamsport, PA MSA",11918,42305,77954
"Twin Falls, ID MSA",12368,33034,64176
"Longview, WA MSA",6433,42300,74478
"Michigan City-La Porte, IN MSA",12396,44841,23097
"Kankakee, IL MSA",14532,35511,59341
"Lewiston-Auburn, ME MSA",6130,42290,40635
"Watertown-Fort Drum, NY MSA",8360,51043,56320
"Sebring-Avon Park, FL MSA",8721,34765,71217
"Decatur, IL MSA",10979,36526,44517
"Fond du Lac, WI MSA",13848,33596,75089
"Gettysburg, PA MSA",11238,44771,26308
"Mankato, MN MSA",9633,36362,26085
"Bay City, MI MSA",11905,31496,63711
"Gadsden, AL MSA",14132,26899,52874
"Lima, OH MSA",4346,62961,27880
"Ithaca, NY MSA",10932,47743,58993
"Cheyenne, WY MSA",14592,44902,19902
"Grand Forks, ND-MN MSA",12142,38804,43155
"Hot Springs, AR MSA",9876,32451,58519
"Victoria, TX MSA",10397,28259,65724
"Rome, GA MSA",12141,27501,38087
"Dubuque, IA MSA",13496,58001,41222
"Cape Girardeau, MO-IL MSA",10005,34656,26792
"Cumberland, MD-WV MSA",7981,33604,68348
"Pocatello, ID MSA",11189,28625,74792
"Fairbanks, AK MSA",9533,32568,64522
"Corvallis, OR MSA",3239,55381,33931
"Ocean City, NJ MSA",9220,49567,20332
"Parkersburg-Vienna, WV MSA",14639,56776,0
"Grants Pass, OR MSA",13244,20820,28164
"Pine Bluff, AR MSA",3529,30177,48144
"Columbus, IN MSA",8180,36324,23315
"Midland, MI MSA",7758,32724,55545
"Hinesville, GA MSA",7911,38537,21867
"Bloomsburg-Berwick, PA MSA",7555,37970,48919
"Kokomo, IN MSA",10259,27608,51178
"Elmira, NY MSA",9357,26994,56275
"Great Falls, MT MSA",5043,11336,67331
"Casper, WY MSA",8169,23702,49800
"Grand Island, NE MSA",9990,22746,56734
"Danville, IL MSA",10176,26498,47254
"Lewiston, ID-WA MSA",5206,18497,37657
"Walla Walla, WA MSA",7815,17540,43724
"Enid, OK MSA",5292,25315,4483
"Carson City, NV MSA",6581,26065,31040
